Roof_Area_m2,Rainfall_mm,Runoff_Coefficient,Tank_Size_Liters,Liters_Captured
50.21,75.58,0.67,15000,2485.38
28.8,389.12,0.92,10000,10181.5
198.19,250.85,0.62,10000,30749.03
108.02,392.75,0.71,10000,30049.45
162.4,141.72,0.7,1000,16100.94
274.12,284.18,0.82,15000,63883.4
89.8,96.82,0.65,2000,5630.62
134.91,111.87,0.91,2000,13751.99
231.55,209.64,0.89,5000,43170.49
84.06,134.65,0.83,10000,9343.28
41.55,75.37,0.76,2000,2364.8
101.13,112.52,0.93,10000,10525.89
65.14,23.94,0.89,2000,1366.14
280.32,284.73,0.77,15000,61780.35
246.27,201.93,0.85,5000,42093.09
197.35,46.75,0.8,10000,7293.88
264.01,76.96,0.81,1000,16403.37
245.03,49.99,0.72,1000,8809.53
72.24,248.91,0.76,2000,13682.5
269.92,46.74,0.63,15000,8041.6
171.02,304.17,0.73,10000,37717.19
246.08,18.0,0.84,5000,3721.67
270.91,107.26,0.93,15000,27115.46
109.04,357.36,0.94,2000,36569.09
50.81,290.23,0.79,15000,11703.88
83.82,38.46,0.81,5000,2650.33
139.59,330.24,0.67,15000,30587.78
249.04,202.28,0.84,10000,42493.65
261.0,340.25,0.62,2000,55528.91
21.95,244.29,0.7,5000,3748.94
163.01,275.91,0.83,2000,37469.46
136.88,397.47,0.71,10000,38536.28
82.19,100.61,0.62,5000,5034.59
53.56,253.34,0.89,5000,12138.06
114.53,189.53,0.71,2000,15442.77
284.01,25.39,0.62,15000,4478.95
110.5,15.64,0.63,15000,1158.04
165.26,56.5,0.69,1000,6462.07
216.85,263.15,0.66,1000,37793.35
121.82,231.19,0.87,5000,24597.49
292.1,225.84,0.71,2000,47042.96
289.49,22.42,0.88,5000,5782.59
90.5,193.03,0.66,2000,11613.84
159.23,370.6,0.77,10000,45574.45
104.25,165.06,0.84,1000,14502.25
99.76,253.72,0.83,5000,20864.97
30.33,314.13,0.81,10000,7662.56
190.68,315.73,0.92,15000,55633.93
160.75,212.52,0.68,1000,23248.1
34.41,344.6,0.77,2000,9117.26
98.02,162.64,0.91,15000,14478.59
274.31,356.59,0.63,15000,61375.35
87.08,103.69,0.62,10000,5593.75
60.57,119.28,0.68,5000,4913.63
157.05,30.72,0.82,5000,3892.69
295.98,320.28,0.69,10000,65517.73
87.78,172.65,0.67,15000,10092.32
208.2,99.36,0.76,1000,15841.72
233.25,100.4,0.81,15000,19150.47
86.54,361.55,0.69,10000,21501.19
223.9,335.23,0.71,15000,52836.74
122.98,225.88,0.81,15000,22753.4
197.05,250.28,0.93,15000,45955.58
197.39,194.99,0.84,15000,32154.71
170.02,162.75,0.87,1000,24228.55
45.28,367.04,0.73,2000,12145.36
253.88,58.99,0.7,2000,10380.14
109.82,173.19,0.76,5000,14389.46
72.23,144.38,0.88,2000,9239.6
31.42,204.28,0.76,2000,4929.44
185.45,188.48,0.9,2000,31346.28
209.72,212.37,0.95,15000,42148.09
24.64,64.57,0.63,15000,1062.57
163.39,210.13,0.62,1000,21137.06
83.42,104.54,0.65,15000,5544.69
200.65,81.89,0.73,15000,12095.73
68.82,35.29,0.65,2000,1626.07
213.46,307.43,0.9,1000,59397.52
128.29,176.7,0.61,1000,13720.75
282.28,254.39,0.71,2000,50991.35
58.51,293.76,0.66,2000,11416.1
115.5,274.93,0.93,1000,29339.7
51.77,193.5,0.83,10000,8329.17
278.91,161.28,0.92,2000,41418.96
265.66,156.62,0.94,2000,39074.95
92.22,259.62,0.77,1000,18516.67
204.8,202.97,0.68,10000,28385.22
248.82,341.16,0.67,10000,56608.54
175.46,351.13,0.68,5000,41839.77
168.3,76.52,0.85,10000,10889.96
87.72,63.13,0.61,2000,3348.41
46.07,255.86,0.62,15000,7353.47
271.22,127.48,0.81,1000,28147.59
272.12,17.24,0.82,2000,3818.34
197.27,356.57,0.83,1000,58563.13
114.93,98.49,0.73,10000,8279.16
117.78,372.42,0.88,1000,38674.42
223.27,289.8,0.79,2000,50970.37
271.19,307.43,0.64,15000,53144.85
268.38,88.57,0.88,2000,20744.03
238.37,101.34,0.93,5000,22509.09
199.77,213.29,0.62,1000,26434.09
43.56,77.12,0.74,2000,2452.15
65.26,129.12,0.77,10000,6515.45
271.6,135.37,0.65,10000,24001.1
189.8,72.26,0.9,2000,12361.41
22.58,90.02,0.7,5000,1365.12
48.41,317.54,0.87,1000,13420.2
205.78,75.21,0.83,5000,12811.86
21.42,21.1,0.81,15000,400.55
65.03,255.45,0.67,2000,11077.33
173.65,390.63,0.68,5000,45918.04
213.73,139.17,0.62,15000,18351.25
202.55,56.28,0.68,5000,7753.6
82.8,232.45,0.72,15000,13856.95
219.41,363.48,0.89,10000,71071.97
86.43,315.78,0.73,10000,19781.19
111.11,252.78,0.86,2000,24270.14
229.02,132.87,0.75,5000,23064.19
201.9,221.33,0.87,10000,39088.91
257.78,45.59,0.94,1000,11027.34
204.13,274.79,0.68,10000,38367.39
179.13,292.79,0.9,10000,47242.06
46.23,386.36,0.82,5000,14574.1
122.96,111.55,0.89,15000,12132.56
94.26,17.2,0.83,1000,1314.56
88.32,222.79,0.75,1000,14710.42
292.44,285.65,0.68,15000,56824.39
130.07,318.26,0.62,5000,25831.42
269.77,85.56,0.79,10000,18160.13
196.72,112.08,0.95,15000,20775.98
242.55,209.91,0.86,1000,43633.4
160.74,138.93,0.71,1000,15961.93
181.53,345.6,0.89,10000,55863.67
157.9,194.77,0.87,10000,26720.76
74.67,321.84,0.7,2000,16783.59
222.29,236.44,0.61,15000,31726.94
98.62,311.51,0.64,10000,19661.12
26.81,139.74,0.91,2000,3410.01
200.73,334.25,0.89,5000,59962.58
69.59,117.08,0.7,1000,5740.69
283.33,222.98,0.7,15000,44205.27
287.1,93.46,0.88,5000,23559.09
276.16,195.46,0.93,15000,50051.67
123.64,134.09,0.87,15000,14422.13
24.33,114.01,0.81,10000,2240.58
279.93,387.12,0.68,2000,74166.83
139.89,72.43,0.78,15000,7978.76
290.66,317.06,0.68,5000,62872.98
289.81,393.82,0.88,15000,100745.79
258.84,17.76,0.74,2000,3418.92
102.45,282.62,0.89,1000,25894.72
127.83,108.64,0.73,15000,10206.85
258.32,25.79,0.89,5000,5963.8
108.74,167.13,0.72,1000,13020.14
67.46,374.73,0.75,1000,19106.45
175.9,14.59,0.82,10000,2086.25
282.12,239.28,0.62,10000,42128.94
214.89,205.54,0.93,15000,41194.68
179.62,350.62,0.8,5000,50440.84
47.21,42.76,0.78,10000,1609.01
192.2,275.8,0.89,2000,47341.2
297.22,275.24,0.9,2000,73888.36
59.22,270.94,0.78,1000,12607.85
165.13,377.51,0.92,1000,57612.86
265.66,331.0,0.62,1000,54794.15
227.42,26.37,0.64,2000,3914.36
215.16,193.72,0.81,10000,33686.24
216.7,165.2,0.72,10000,25928.62
120.66,130.96,0.76,15000,12135.66
102.21,186.02,0.71,5000,13518.84
246.62,159.84,0.74,2000,29255.39
246.83,178.61,0.89,1000,39180.36
262.78,391.91,0.81,5000,83185.16
275.71,44.57,0.95,1000,11773.48
163.18,369.67,0.88,5000,52830.21
160.42,197.29,0.7,5000,22089.15
243.52,253.26,0.69,10000,42752.5
201.99,333.77,0.72,15000,48451.8
216.55,150.58,0.9,15000,29197.86
242.82,177.86,0.61,1000,26260.88
269.2,169.71,0.68,2000,31120.07
114.64,156.15,0.92,15000,16325.26
125.16,370.96,0.82,2000,38240.03
46.31,333.28,0.68,1000,10463.82
181.92,52.51,0.68,2000,6444.81
30.06,52.17,0.9,5000,1477.75
150.37,176.87,0.91,5000,24275.37
171.94,48.48,0.69,1000,5851.02
100.23,251.45,0.75,2000,18827.8
185.43,66.04,0.89,2000,10817.85
28.54,213.73,0.87,1000,5276.27
30.46,12.82,0.88,15000,387.93
250.33,133.47,0.78,10000,26042.02
120.85,274.1,0.92,15000,30426.8
55.58,198.78,0.71,10000,7929.52
166.23,391.53,0.65,2000,42602.53
235.6,350.9,0.85,10000,70082.36
80.43,150.04,0.79,10000,9581.25
194.41,27.74,0.9,2000,4837.41
43.9,339.79,0.63,5000,9321.22
34.47,365.38,0.9,10000,11317.9
168.78,330.04,0.7,1000,39197.93
171.38,59.9,0.83,15000,8521.27
198.48,399.19,0.61,2000,48622.28
223.31,110.85,0.81,2000,20088.52
293.24,292.44,0.85,10000,72953.41
164.56,364.13,0.73,5000,43624.82
110.43,101.92,0.68,5000,7576.64
242.65,364.22,0.79,15000,69685.18
95.83,130.7,0.89,15000,11204.48
142.91,390.8,0.71,5000,39836.02
41.97,119.69,0.69,5000,3476.9
27.1,381.84,0.7,5000,7206.72
289.54,30.88,0.93,10000,8298.93
254.07,286.62,0.73,1000,52833.09
214.87,217.52,0.6,15000,28159.08
134.51,196.37,0.87,2000,22960.6
68.52,97.16,0.84,5000,5566.86
63.8,285.18,0.64,5000,11712.29
90.07,84.42,0.94,1000,7127.27
173.78,225.61,0.81,5000,31890.2
220.09,108.77,0.78,15000,18481.73
204.86,382.69,0.73,5000,57585.73
98.38,21.17,0.91,1000,2002.21
287.36,87.89,0.69,10000,17323.56
226.61,104.5,0.7,15000,16546.29
175.22,171.49,0.64,10000,19362.32
191.28,100.76,0.87,2000,16671.61
137.49,201.63,0.81,1000,22368.24
89.36,350.26,0.81,2000,25455.78
119.67,287.7,0.68,2000,23212.04
232.2,236.19,0.83,2000,45366.74
24.03,44.71,0.87,2000,894.21
52.5,280.66,0.73,1000,10681.69
32.88,74.9,0.88,10000,2088.96
31.4,316.68,0.72,5000,7134.82
259.53,107.52,0.87,2000,24121.97
217.02,172.65,0.61,5000,22947.45
152.77,146.68,0.79,5000,17768.1
47.39,344.94,0.94,2000,15437.81
157.65,59.35,0.94,15000,8782.53
152.57,230.6,0.7,5000,24623.73
68.5,65.4,0.75,15000,3424.2
141.48,284.87,0.62,10000,25079.2
131.58,362.98,0.91,5000,43263.17
192.44,179.5,0.8,1000,27612.3
197.83,200.36,0.73,10000,29076.74
32.69,371.69,0.64,10000,7816.87
124.89,213.19,0.93,15000,24801.62
195.24,200.16,0.79,2000,30640.25
160.88,235.55,0.7,1000,26548.81
259.82,278.8,0.72,1000,52335.7
204.43,51.68,0.69,15000,7343.37
65.62,330.23,0.81,15000,17441.26
39.76,179.85,0.93,10000,6613.65
199.88,38.22,0.9,15000,6936.9
27.42,316.61,0.76,2000,6577.15
184.02,157.01,0.89,10000,25629.08
283.26,49.14,0.75,10000,10436.58
181.13,257.17,0.69,10000,31976.02
128.69,353.25,0.94,1000,42952.27
200.12,356.22,0.71,1000,50344.7
148.31,383.49,0.71,10000,40573.59
172.77,348.41,0.95,2000,57086.23
283.61,10.83,0.65,5000,2000.31
128.11,158.29,0.87,10000,17498.36
289.13,329.23,0.93,15000,88299.45
273.5,152.84,0.78,5000,32605.57
74.82,244.6,0.6,1000,10896.18
39.42,246.46,0.73,1000,7104.3
48.22,152.36,0.64,5000,4608.19
25.1,362.74,0.75,15000,6791.02
46.44,206.26,0.88,1000,8473.75
211.24,191.27,0.75,1000,30424.19
39.93,399.03,0.75,10000,11973.45
109.31,202.47,0.79,2000,17606.28
256.57,79.58,0.8,15000,16423.46
26.52,210.1,0.9,10000,5019.62
248.05,327.47,0.71,2000,57403.19
98.92,312.98,0.89,1000,27488.27
53.09,317.55,0.8,2000,13421.73
215.09,286.13,0.71,1000,43341.84
196.1,109.14,0.7,10000,15063.1
265.69,346.21,0.73,1000,66825.44
225.82,358.44,0.82,2000,66118.6
244.97,85.72,0.68,10000,14275.9
98.97,60.88,0.92,2000,5622.89
69.68,390.49,0.8,2000,21738.48
230.17,348.65,0.92,5000,73998.08
245.91,358.36,0.62,1000,54246.72
297.34,355.69,0.72,1000,76220.43
135.53,221.26,0.61,2000,18266.92
124.17,262.1,0.7,1000,22585.47
237.4,222.69,0.9,15000,47680.07
115.42,29.97,0.61,1000,2051.41
280.61,300.75,0.75,10000,63427.9
260.36,207.08,0.64,1000,34562.33
140.12,262.61,0.75,15000,27408.03
230.24,206.03,0.89,2000,42399.56
231.27,201.81,0.82,1000,38097.53
48.87,77.0,0.86,10000,3200.54
272.71,118.7,0.72,15000,23454.28
161.47,71.95,0.93,5000,10882.75
251.41,86.31,0.85,2000,18489.64
109.61,389.46,0.75,2000,32029.56
270.75,69.71,0.75,2000,14122.05
128.98,115.02,0.92,15000,13531.4
23.03,240.33,0.8,1000,4493.55
273.51,247.97,0.85,1000,57404.7
45.56,70.05,0.75,1000,2483.71
109.41,319.55,0.68,1000,23718.09
286.02,316.23,0.85,2000,77255.31
286.17,102.55,0.81,5000,23844.41
180.56,122.58,0.78,2000,17129.76
196.91,375.82,0.82,5000,60601.33
145.56,332.01,0.67,5000,32545.19
102.1,282.14,0.88,1000,25231.17
112.03,42.07,0.93,10000,4390.15
208.31,173.12,0.91,15000,32856.02
230.66,228.13,0.71,10000,37502.84
241.64,83.09,0.74,5000,14898.29
241.09,184.81,0.88,10000,39347.15
45.54,244.4,0.81,5000,8996.59
158.44,137.68,0.79,2000,17253.42
36.12,314.57,0.92,2000,10519.33
173.87,337.78,0.79,1000,46217.04
143.63,136.21,0.78,15000,15346.28
268.56,337.08,0.61,2000,55645.05
118.26,50.39,0.62,15000,3762.61
52.78,336.71,0.6,1000,10682.25
60.04,69.57,0.92,15000,3820.08
233.22,42.34,0.74,2000,7382.62
193.1,260.29,0.76,2000,38438.54
48.31,194.06,0.9,10000,8393.39
43.55,364.08,0.81,10000,12805.05
216.27,151.64,0.81,10000,26647.79
40.37,121.99,0.7,15000,3461.84
250.12,205.29,0.89,2000,45760.14
217.75,187.82,0.66,1000,26848.39
42.78,144.33,0.62,5000,3861.93
43.75,280.56,0.67,2000,8179.64
296.26,306.23,0.69,10000,63025.83
124.8,342.66,0.7,10000,29874.79
123.78,389.41,0.83,15000,40241.77
247.58,114.0,0.68,10000,19056.42
285.23,289.28,0.84,15000,69122.6
296.08,163.76,0.63,1000,30623.21
230.95,274.06,0.65,10000,41226.88
125.35,195.63,0.78,15000,19033.51
43.38,397.57,0.92,10000,15931.91
237.6,294.27,0.9,15000,62970.23
176.35,381.47,0.94,2000,63125.86
138.78,335.64,0.83,15000,38550.82
273.78,362.13,0.84,5000,82973.72
51.14,327.62,0.82,1000,13799.16
157.94,189.07,0.82,2000,24437.77
23.18,108.2,0.65,1000,1606.36
151.22,154.42,0.79,2000,18478.83
35.76,17.89,0.74,10000,463.39
53.27,214.36,0.75,15000,8622.58
52.91,206.97,0.78,10000,8576.88
201.78,214.85,0.64,1000,27982.27
228.89,389.87,0.73,1000,64801.16
183.34,365.47,0.62,2000,41689.1
289.41,73.07,0.94,1000,20114.57
124.96,153.86,0.64,15000,12380.04
100.0,175.34,0.69,1000,12003.1
263.21,150.61,0.91,10000,36133.51
82.61,321.41,0.77,15000,20415.34
289.7,214.37,0.65,1000,40241.67
23.4,233.12,0.73,5000,4098.84
291.57,342.68,0.64,5000,63963.35
32.08,324.31,0.67,10000,7030.0
269.52,61.56,0.62,2000,10267.73
167.76,288.43,0.75,2000,36469.03
298.03,179.82,0.88,1000,47344.98
40.66,124.91,0.81,15000,4006.14
175.08,29.51,0.81,2000,4222.77
291.4,200.03,0.67,5000,39148.11
166.47,148.62,0.72,2000,17769.19
196.23,108.09,0.9,5000,19001.39
214.81,280.92,0.63,2000,38096.35
147.27,310.1,0.9,10000,41016.67
195.72,105.47,0.77,15000,15896.35
183.61,29.28,0.89,1000,4788.51
272.32,341.01,0.71,5000,66126.07
32.72,13.88,0.72,2000,289.53
98.67,375.47,0.86,1000,31972.51
286.12,254.77,0.87,5000,63723.75
269.27,135.52,0.68,5000,24822.35
147.58,106.13,0.94,10000,14694.82
193.64,13.51,0.63,2000,1627.97
97.67,101.83,0.62,1000,6148.61
72.67,63.71,0.81,2000,3708.5
149.84,248.74,0.85,2000,31752.96
118.94,74.95,0.94,15000,8324.07
183.42,216.17,0.74,5000,29403.73
41.77,240.15,0.61,5000,5961.45
292.83,126.24,0.81,15000,29986.94
296.14,23.68,0.7,15000,4979.56
215.49,24.53,0.75,2000,4010.02
170.11,20.28,0.77,5000,2615.71
106.67,298.26,0.62,1000,19858.23
247.86,134.02,0.77,10000,25541.67
211.72,320.56,0.75,15000,50863.55
65.53,178.38,0.85,1000,9808.08
275.06,186.67,0.83,1000,42440.72
250.31,210.02,0.66,2000,34950.96
285.94,288.08,0.67,15000,55375.44
223.2,116.67,0.69,1000,17912.57
191.76,57.42,0.66,10000,7389.3
137.11,226.86,0.83,1000,25861.32
281.16,137.52,0.95,10000,36693.15
262.5,182.57,0.83,10000,39720.79
32.66,262.31,0.81,10000,7059.87
27.38,202.71,0.74,15000,4114.23
125.41,251.91,0.71,10000,22341.9
246.95,222.24,0.92,15000,50516.3
296.44,298.52,0.94,1000,83084.16
62.12,285.32,0.77,10000,13740.0
186.36,218.33,0.7,5000,28571.55
126.65,274.77,0.87,1000,30223.17
291.58,350.69,0.65,5000,66021.09
255.79,178.59,0.87,5000,39702.43
254.73,170.98,0.89,2000,38679.32
151.23,308.06,0.64,15000,30021.47
136.15,237.2,0.94,2000,30437.98
96.55,37.69,0.94,15000,3369.03
35.79,357.92,0.93,2000,11867.66
262.12,22.01,0.77,1000,4522.96
247.61,301.87,0.69,5000,51247.43
299.92,305.93,0.8,1000,73750.21
299.06,381.71,0.75,15000,85293.86
175.52,31.11,0.67,5000,3695.89
235.32,242.77,0.75,5000,42697.47
284.53,176.86,0.83,15000,41880.32
257.9,138.95,0.62,1000,22432.44
89.26,45.22,0.72,5000,2985.97
146.15,229.44,0.61,1000,20317.55
56.16,196.83,0.86,1000,9553.25
287.13,50.78,0.82,1000,11959.13
189.73,248.87,0.62,5000,29354.41
84.02,297.8,0.94,10000,23436.42
208.08,309.24,0.61,2000,39213.46
193.08,363.1,0.81,15000,56575.37
120.29,169.69,0.87,1000,17798.13
51.8,381.7,0.88,5000,17219.1
208.04,347.52,0.61,15000,44261.6
165.69,125.64,0.92,10000,19109.38
236.25,72.12,0.92,10000,15688.81
165.65,179.8,0.8,5000,23724.43
258.61,166.74,0.77,1000,33238.36
174.53,234.53,0.62,10000,25250.36
177.06,237.52,0.8,10000,33461.09
265.46,302.49,0.74,10000,59784.12
132.98,208.86,0.87,5000,24136.03
57.52,50.88,0.74,15000,2250.67
28.06,344.73,0.84,2000,8081.84
231.44,130.81,0.64,5000,19231.37
193.69,388.81,0.65,1000,48582.56
217.14,55.97,0.65,5000,7912.09
79.63,383.72,0.62,5000,18721.99
58.18,45.49,0.79,2000,2100.13
24.07,100.1,0.88,2000,2093.77
118.16,28.17,0.81,2000,2686.83
185.18,284.99,0.8,15000,42304.31
129.83,341.62,0.84,5000,37217.22
142.49,179.29,0.72,1000,18430.73
273.16,372.12,0.73,2000,73809.62
117.51,240.22,0.71,2000,20026.33
163.92,255.7,0.85,5000,35592.62
239.42,339.71,0.66,1000,53432.71
131.03,125.75,0.6,2000,9990.77
194.18,148.16,0.81,5000,23224.01
261.46,363.32,0.93,10000,88389.29
285.87,361.38,0.81,15000,84037.69
61.18,390.83,0.87,5000,20988.29
279.44,361.72,0.84,2000,84465.7
157.79,59.68,0.77,1000,7189.04
92.31,331.25,0.85,10000,25993.57
148.56,169.84,0.89,1000,22407.78
294.41,396.41,0.68,1000,79162.02
157.93,194.19,0.72,1000,21965.39
112.05,226.0,0.68,5000,17271.89
197.35,216.61,0.76,5000,32352.34
87.24,135.48,0.91,15000,10726.28
41.24,39.26,0.72,10000,1170.39
56.09,359.3,0.73,1000,14666.65
55.85,323.04,0.9,2000,16250.82
62.53,64.42,0.78,1000,3025.24
58.87,312.94,0.79,10000,14479.05
199.44,254.08,0.9,1000,45616.46
70.93,169.57,0.77,5000,9265.49
116.79,109.07,0.84,5000,10678.38
271.1,345.29,0.63,10000,59039.15
152.71,283.07,0.66,15000,28608.91
206.92,223.62,0.74,1000,34417.75
68.25,247.73,0.77,10000,13083.45
73.84,45.52,0.94,2000,3105.43
31.44,194.83,0.94,2000,5763.57
67.3,85.54,0.9,15000,5231.28
98.01,91.27,0.71,5000,6301.61
69.56,267.91,0.94,10000,17567.15
44.84,365.39,0.84,1000,13809.02
53.78,167.47,0.74,10000,6584.94
149.02,91.02,0.85,15000,11443.38
77.77,263.01,0.61,10000,12370.69
122.0,349.76,0.65,15000,27839.85
160.96,301.84,0.89,15000,43199.66
213.31,348.82,0.83,15000,61532.66
31.01,219.26,0.73,10000,5002.82
243.83,303.23,0.78,2000,57402.79
195.81,64.63,0.92,1000,11604.48
42.89,145.83,0.82,15000,5197.34
264.6,161.92,0.74,5000,31665.85
277.84,209.41,0.64,15000,37410.63
37.1,372.34,0.7,10000,9713.36
97.53,350.98,0.94,15000,32348.27
245.74,62.46,0.75,5000,11573.08
229.51,77.39,0.77,2000,13547.89
71.67,149.48,0.77,10000,8372.66
78.62,123.39,0.91,10000,8832.56
123.73,249.76,0.81,10000,25047.44
155.67,362.08,0.84,5000,47473.74
193.11,385.29,0.74,10000,54739.2
123.3,264.91,0.61,2000,19857.91
149.51,336.88,0.93,1000,46610.83
229.29,214.83,0.93,1000,45928.76
30.27,91.25,0.93,15000,2555.85
90.68,214.63,0.93,1000,17917.21
219.74,226.48,0.89,5000,43983.35
270.66,299.56,0.84,1000,68120.68
163.27,95.75,0.9,5000,13995.56
168.99,153.64,0.81,5000,20950.57
50.01,151.97,0.65,15000,4899.5
145.28,384.18,0.74,1000,41135.67
169.13,183.14,0.94,15000,29162.57
87.89,304.49,0.72,10000,19311.78
95.39,302.82,0.9,2000,26136.31
125.64,113.56,0.63,1000,9025.11
25.62,233.03,0.72,10000,4261.88
110.18,358.78,0.72,10000,28617.95
79.21,195.33,0.62,15000,9514.76
111.7,378.6,0.64,15000,27183.42
53.53,93.64,0.67,2000,3289.51
269.35,38.92,0.89,2000,9335.47
186.21,357.67,0.62,2000,41418.5
210.15,340.6,0.7,2000,50422.8
240.97,397.11,0.6,15000,57628.07
159.56,274.96,0.84,5000,37011.85
44.34,375.31,0.82,15000,13505.53
170.39,332.51,0.83,5000,46792.01
184.32,339.33,0.73,15000,45734.84
228.72,231.97,0.67,15000,35749.74
140.86,159.12,0.85,2000,19033.07
55.72,374.48,0.88,5000,18455.47
99.46,178.53,0.65,10000,11512.36
121.66,220.14,0.77,10000,20604.86
200.86,183.98,0.69,10000,25335.91
179.82,230.28,0.66,2000,27285.39
119.71,193.5,0.86,10000,19917.82
296.22,28.71,0.79,15000,6691.81
189.62,354.0,0.68,2000,45416.13
86.42,183.31,0.71,10000,11281.78
48.5,239.69,0.94,2000,10800.78
62.8,64.28,0.9,15000,3578.4
88.87,11.32,0.91,2000,886.08
64.99,105.66,0.76,10000,5292.11
72.24,284.79,0.82,2000,16834.37
99.83,48.69,0.73,1000,3621.52
68.54,364.47,0.63,10000,15661.99
271.09,93.86,0.74,15000,18904.45
42.47,89.79,0.81,5000,3103.14
166.86,80.79,0.7,2000,9438.35
134.91,15.45,0.9,2000,1928.32
295.07,311.0,0.65,10000,59887.91
51.37,351.26,0.73,10000,13246.53
131.4,249.52,0.64,1000,21032.63
291.45,83.4,0.74,15000,18006.38
262.34,121.26,0.61,2000,19533.33
248.78,195.61,0.7,2000,33803.65
92.21,382.19,0.74,5000,26108.8
67.85,106.47,0.77,2000,5537.08
207.22,295.34,0.79,2000,48383.09
280.23,181.38,0.7,1000,35344.8
175.89,126.16,0.78,5000,17326.04
180.05,187.81,0.78,2000,26311.75
98.39,37.77,0.71,2000,2677.57
235.46,321.49,0.89,15000,67505.61
72.37,104.89,0.79,2000,5912.89
110.63,292.91,0.72,1000,23201.5
139.12,36.66,0.93,2000,4772.81
162.13,382.49,0.9,2000,55569.02
87.87,85.28,0.94,10000,7012.2
52.15,354.27,0.84,2000,15526.23
